True,Predict
5,4.3
4,3.8008513370995325
1,3.80060361215964
2,2.870761573656725
3,2.957264873871093
2,3.035622417425075
2,2.728694872571017
2,3.100672108238733
5,4.212584753576228
4,3.3358611063655403
5,4.518920677343884
3,3.116349255901639
2,3.197976573444287
5,2.501265226356504
5,4.714285714285714
4,3.673708733093867
2,3.529042924890073
4,3.9897884488327633
4,3.0
4,3.591140465823767
4,3.965843181742461
4,3.3980324969334896
4,3.840005986136137
4,4.139863968751158
3,3.1818181818181817
4,3.8
4,3.4550104294797177
2,3.7419848863521987
4,4.146129713673664
4,2.3000000489897925
3,2.6050401386343256
3,4.083333333333333
4,4.135855958310519
3,3.8722457020687804
2,3.938845498930516
5,4.281140572528972
1,3.7
4,3.165450428401782
4,3.9541219548158426
4,3.3398113757201875
1,3.680992226288597
5,4.130545968657188
5,3.3268598342755444
3,3.6350025730748006
5,3.9781281388215874
5,3.0616965894486277
5,4.14990495248833
3,3.700865555071517
5,3.631859331053531
4,4.358658580506637
4,4.809016991355241
3,4.005055708050546
3,4.200864668808577
3,3.6769710992515803
3,3.6854960880838687
3,4.04953191282884
5,4.443514366860255
4,3.1991057434887304
4,3.5714285714285716
4,4.4
4,3.8333333333333335
3,3.2453860569026034
3,2.8181818181818183
2,1.5
4,3.4444444444444446
4,3.75
5,4.333333333333333
1,2.1393436585013568
4,4.777777777777778
3,2.9028324627574986
3,3.558039880448207
2,2.238732580112041
2,1.75
3,3.0
1,1.4545454545454546
2,2.375
4,4.083333333333333
3,3.75
4,4.2
3,3.0237532959405025
3,4.333333333333333
2,3.7142857142857144
3,2.862204957653847
3,2.5714285714285716
3,2.642857142857143
2,2.437659271246286
4,3.5702493145034087
1,2.4
1,2.6026318816410794
4,2.75
4,2.75
4,3.1666666666666665
4,3.4615384615384617
2,2.8181818181818183
3,2.9914727165944677
3,3.4177605133333855
2,3.6
2,2.8516013737545127
4,3.5
3,2.625
4,4.285714285714286
2,1.7272727272727273
2,2.227304899362285
3,3.1458701027757052
3,2.770206067229147
3,2.9652575011509934
3,2.9166666666666665
3,3.5833333333333335
3,3.375
4,4.777777777777778
3,2.556977947077605
3,3.7077294267821292
3,3.5113553875384107
3,3.3636363636363638
4,4.0
4,2.9166666666666665
1,1.8414298326624567
3,3.1666666666666665
4,3.038917502152508
1,4.333333333333333
4,2.9433384957729074
3,3.5
4,3.8
4,3.184427179989956
3,2.6740229076099222
3,2.5860351187216235
3,3.775794786802669
4,3.7802254442997194
5,3.5757685724419517
4,3.3333333333333335
1,3.334427180000052
3,3.2848873130678427
3,2.5
4,3.6131678366042896
5,2.917578495769181
1,3.7
5,4.5
3,3.0
1,4.799999970000001
2,3.6153846153846154
1,3.7
5,4.181818181818182
1,2.5
2,2.1428571744799183
4,3.4285714285714284
5,4.5
3,3.5555555555555554
4,3.8333333333333335
5,3.400000054772253
5,3.400000054772253
3,2.8461538461538463
4,3.1818181818181817
4,2.999999977201902
3,3.1344603417834787
5,4.75
5,4.745063483323963
4,4.0
5,2.729444663572362
5,4.37340376103568
4,3.353745338007511
4,4.992557918285067
4,3.48924570746003
4,4.333333333333333
5,4.875
4,4.142857142857143
5,4.888888888888889
5,4.714285714285714
4,3.5
4,4.165070427699467
2,4.285714285714286
4,3.9313466377719637
4,3.0
5,5.0
5,4.349468975615497
5,4.4
5,4.5
5,3.6214710339991485
4,3.599608937869417
4,3.760246518445761
5,3.481191675548791
5,4.265693114478286
4,4.303273577387199
4,4.8571427878608295
3,2.732774483921243
5,4.739975941806189
5,5.0
4,4.333333333333333
5,3.6194887076680398
4,3.8743944397192185
1,3.125
4,2.991762321573618
5,3.9741781072828988
3,3.3333333333333335
5,4.849700775427925
4,4.02951950173369
5,3.923076923076923
5,4.282585178366499
4,3.1769538782563878
5,3.35281429237927
4,4.5
3,5.0
3,3.1452093032583144
4,2.5865105394331143
1,2.5714285714285716
5,2.3048345359060542
2,4.5
4,4.25
4,4.583333333333333
4,2.75
1,2.666666676094757
3,5.0
4,4.618410683442953
4,3.6666666666666665
4,2.0
4,2.6774661261764336
4,3.6666666666666665
5,4.111111111111111
5,4.25
4,4.625
1,2.637986628011144
5,3.076923076923077
4,4.5
4,3.5366750531863103
2,4.7
2,3.8502236919529045
4,3.485175544257121
4,4.666666666666667
5,3.412268322439135
4,4.777777739047946
1,3.6666666666666665
5,1.5454546654545382
2,3.2431726591026115
4,4.166666666666667
4,3.3729491366879936
4,2.5327443769571345
5,3.75
4,3.71075842224514
4,3.6032527581934652
4,4.777777777777778
3,2.952294726142213
4,2.745086609171899
3,3.1902026977989357
1,2.4144813203642217
3,2.4578684670155635
4,2.5
1,4.76801589242597
1,2.976196125832037
4,2.724117550130362
1,3.4795805112661657
5,2.724009249783029
3,4.428571428571429
2,2.783641671237958
3,3.0833333333333335
5,3.3234432539896384
5,4.4
2,3.768248959498563
2,3.75
5,3.5741233983642084
3,3.333333344513673
3,2.7584900541689827
5,3.6666666666666665
3,4.5
1,3.5714285714285716
3,3.692554937891207
2,2.42300570546206
3,3.051245003554741
3,2.468552085640799
5,2.4199973172835154
3,0.0
5,4.333333333333333
3,3.6000000299999986
3,2.8001634552137267
1,2.3061351886320685
3,2.6153846153846154
4,3.3054374984640624
3,4.5
1,4.0
1,3.1818181818181817
5,4.916666666666667
2,2.675061967816357
1,0.0
3,4.25
5,3.069597322401812
2,4.666666666666667
4,4.4783349742755725
3,4.166666666666667
5,4.5
5,4.636363636363637
3,4.461538461538462
5,4.84990722946247
4,3.1675670735924277
3,3.503804518471539
5,3.0833333556940126
3,4.4
2,3.0
3,3.274915506216843
4,5.0
4,4.857142857142857
1,2.500000089442715
2,3.4492169171173868
1,2.9200379547910393
4,4.333333333333333
3,3.0940992571926116
1,2.0088071811386254
1,3.511939339805031
1,3.6666666666666665
2,2.7376815115198876
1,2.6666666666666665
4,3.698601542062594
2,4.75
5,3.3345003904322814
2,4.5
2,2.928735039417262
5,3.028690767519605
2,2.333333422776048
2,4.444444444444445
4,2.8911109664083763
3,3.279390158642463
4,2.558219693396093
2,4.818181770747656
5,4.5
5,4.0
3,5.0
4,3.8795510340735855
4,2.799406245605921
4,4.4089754321258185
4,3.356942198054004
4,2.7839176253484608
5,3.589141720662113
1,3.3037764831217022
4,3.496246765776423
4,4.133333333333334
3,2.1666666666666665
4,3.3636363636363638
4,4.071428571428571
3,2.857142857142857
4,3.4166666666666665
4,0.0
3,3.230769230769231
4,4.142857142857143
4,3.142857142857143
4,3.857142857142857
5,3.600000052915023
4,5.0
5,4.875
4,2.6153846153846154
2,2.986641320864766
5,4.833333333333333
5,4.083333333333333
4,5.0
5,4.6
2,3.3178476928483893
5,4.090909090909091
5,1.0
5,4.666666666666667
5,3.3537017316240547
5,0.0
4,3.5433696634778005
4,3.2423802556435555
2,1.0
5,3.3382049619702885
1,3.4689777309772336
1,2.79499497562923
2,3.857142857142857
5,3.697274792038426
2,2.4
2,2.336687196835445
1,2.901844988260623
1,1.8
3,4.5
1,2.857142857142857
4,5.0
2,3.7999999251668575
4,4.076923069206922
5,4.076923076923077
1,3.348354203319586
5,3.462367839410868
5,3.4849276451714974
5,3.871964532950629
4,2.0000002799999606
5,4.1775249969616475
3,3.000000029580398
3,2.2576213510609806
5,3.143145735736453
4,3.8
5,4.128458310719092
5,3.3689350742278923
5,4.110220670895535
4,3.4
1,2.5
4,3.992284152312285
5,4.0
5,4.025704208288622
5,3.7369952973710943
3,3.5623415201246975
5,3.538531996315174
5,3.521608932651244
4,3.123156269191486
4,4.3
2,3.00740622974571
4,3.508247270777032
4,4.000852290052802
2,3.2343057985591357
1,1.5187717398793041
1,2.488199505112116
5,3.875
4,3.1170130679102552
3,3.611638290286812
5,4.714285714285714
4,4.5
4,3.4898074014838296
3,3.967161680514971
5,4.4
4,3.4163688745881786
4,2.668943226062081
3,3.593237750207959
3,2.2137618265823242
3,3.628098156873472
4,3.625
4,3.7203556118528813
4,3.4643705965348754
5,3.913668889168452
3,3.48042417592594
4,3.8968696469640087
4,3.214256074373888
3,3.1364732821789008
2,1.6725318272026992
4,3.6473377482024416
5,4.544975880239444
3,4.375
1,1.9406016736553284
5,3.214800765227215
3,2.9142893067021802
4,3.264139570804646
3,4.009301844109694
5,4.304593063352481
3,3.928606053196724
4,3.6666666666666665
3,3.933333339618726
4,4.021351327724951
4,3.193961350545207
2,1.7142857142857142
5,3.3679194586329655
4,4.875
2,3.5262731856127134
5,4.454887312416168
5,4.01945964017643
4,4.636363636363637
4,3.902712813988434
2,3.612759288157156
4,3.3576169216673812
4,4.132592144802997
4,3.782045850052706
1,2.2857142857142856
5,3.7513630317791997
3,4.386246942820467
4,3.758635533985999
5,4.46229658551259
2,3.2902074471776563
2,2.5420921290902982
5,4.857142857142857
4,3.625
4,3.9747082315267583
2,3.0
3,4.25842875543455
2,3.0137790782364093
3,4.444444444444445
4,3.5
4,3.243406443280671
4,4.6
3,2.4444444444444446
4,4.555555555555555
4,4.002712813980771
3,3.632870141680738
4,2.993992503361933
2,3.4
4,2.7366683273829167
1,1.9012597586161684
4,4.6
4,4.5
4,4.359136787960426
2,3.6454746444723787
5,3.9698112850863048
2,3.401766331149472
5,3.872342108867483
5,3.5993048128644163
3,3.7113868991318615
2,2.69454665395617
4,3.690571265509976
5,4.211957224168076
4,3.909863290335315
4,3.6444003523464747
3,4.064249637116201
5,4.4
3,4.239735001945854
4,4.154591333414972
5,3.763573097612988
2,3.216354302885586
4,3.1071685579243686
2,1.6715634833269344
3,2.931960423151133
3,3.5
5,4.131654843929062
5,3.3854455424157512
4,4.3810035083054055
5,4.0
2,3.816297850808073
4,3.0793127028151805
4,4.302712813980771
3,2.5644902993199734
2,3.4592594847314353
3,2.480099641575052
4,1.7460605384373338
4,3.4013185582887675
3,3.242632356828619
1,1.25
4,4.428571428571429
4,4.023259548313466
2,2.6753079862958424
5,4.086615031993172
5,4.571428571428571
2,4.222222222222222
3,3.236999818671841
4,3.727272727272727
3,3.313068663924625
1,1.583566818332212
3,4.833333333333333
4,3.9608964260804216
4,3.9006489951114425
4,3.6
3,4.166666666666667
5,3.74158430020314
3,2.8783034934574934
5,4.6
3,3.108421536227013
4,4.666666666666667
4,4.124935036202993
5,3.0109449101579706
2,4.0741644463249465
5,4.214259942825137
4,4.01311591897481
4,3.662212828778996
4,3.8322181953950274
2,3.5
5,3.7876508980113996
1,2.1012269234883822
5,4.301196066704632
5,3.6452514301145627
3,3.8104415125820155
4,3.3504495403390466
5,4.571428571428571
5,3.774074733469096
4,3.238056538413228
2,3.245459743071924
4,3.6666666666666665
3,4.285714285714286
3,3.7460375318226347
4,4.431247053044107
3,3.984013084231333
3,3.277091222469362
4,4.143757889136029
5,3.7196642585412105
4,4.0355807285590215
5,4.231003508305405
4,3.367788720787924
5,3.9528395056400383
5,4.5
4,2.8853015895563514
4,3.9
