True,Predict
5,4.3
4,3.8008513370995325
1,3.80060361215964
2,2.870761573656725
3,2.9768275399347117
2,3.035622417425075
2,2.728694872571017
2,3.100672108238733
5,4.212584753576228
4,3.3358611063655403
5,4.518920677343884
3,3.1396353418323555
2,3.188593521847193
5,2.501265226356504
5,4.714285714285714
4,3.673708733093867
2,3.529042924890073
4,3.9897884488327633
4,3.0
4,3.591140465823767
4,3.965843181742461
4,3.3980324969334896
4,3.840005986136137
4,4.139863968751158
3,3.1818181818181817
4,3.8
4,3.4550104294797177
2,3.7419848863521987
4,4.146129713673664
4,2.3000000489897925
3,2.6050401386343256
3,4.083333333333333
4,4.135284490467069
3,3.8722457020687804
2,3.938845498930516
5,4.281140572528972
1,3.7
4,3.165450428401782
4,3.9372600258480612
4,3.3398113757201875
1,3.680992226288597
5,4.130545968657188
5,3.3268598342755444
3,3.6350025730748006
5,3.9781281388215874
5,3.0198519300366433
5,4.100004610833739
3,3.700865555071517
5,3.631859331053531
4,4.358658580506637
4,4.809016991355241
3,4.005055708050546
3,4.200864668808577
3,3.6769710992515803
3,3.689358086908997
3,4.04953191282884
5,4.443514366860255
4,3.1991057434887304
4,3.5714285714285716
4,4.4
4,3.8333333333333335
3,3.2149005838131073
3,2.8181818181818183
2,1.5
4,3.4444444444444446
4,3.75
5,4.333333333333333
1,2.091465517051738
4,4.777777777777778
3,3.3333333333333335
3,3.558039880448207
2,2.133974604254037
2,1.75
3,3.0
1,1.4545454545454546
2,2.375
4,4.083333333333333
3,3.75
4,4.2
3,3.0237532959405025
3,4.333333333333333
2,3.7142857142857144
3,2.862204957653847
3,2.5714285714285716
3,2.642857142857143
2,2.437659271246286
4,3.5702493145034087
1,2.4
1,2.6057401106489135
4,2.75
4,2.75
4,3.1666666666666665
4,3.4615384615384617
2,2.8181818181818183
3,3.02612821576204
3,3.4177605133333855
2,3.6
2,2.8516013737545127
4,3.5
3,2.625
4,4.285714285714286
2,1.7272727272727273
2,2.227304899362285
3,3.1458701027757052
3,2.75
3,2.9652575011509934
3,2.9166666666666665
3,3.5833333333333335
3,3.375
4,4.777777777777778
3,2.556977947077605
3,3.7077294267821292
3,3.5113553875384107
3,3.3636363636363638
4,4.0
4,2.9166666666666665
1,1.8414298326624567
3,3.1666666666666665
4,3.038917502152508
1,4.333333333333333
4,2.9433384957729074
3,3.5
4,3.8
4,3.184427179989956
3,2.6740229076099222
3,2.5860351187216235
3,3.775794786802669
4,3.7802254442997194
5,3.577530893989266
4,3.3333333333333335
1,3.334427180000052
3,3.2848873130678427
3,2.5
4,3.6131678366042896
5,2.7924617536877103
1,3.7
5,4.5
3,3.0
1,4.799999970000001
2,3.6153846153846154
1,3.7
5,4.181818181818182
1,2.5
2,2.1428571744799183
4,3.4285714285714284
5,4.5
3,3.5555555555555554
4,3.8333333333333335
5,3.400000054772253
5,3.400000054772253
3,2.8461538461538463
4,3.1818181818181817
4,2.999999977201902
3,3.1344603417834787
5,4.75
5,4.745063483323963
4,4.0
5,2.7167801088674817
5,4.37340376103568
4,3.353745338007511
4,4.992557918285067
4,3.48924570746003
4,4.333333333333333
5,4.875
4,4.142857142857143
5,4.888888888888889
5,4.714285714285714
4,3.5
4,4.165070427699467
2,4.285714285714286
4,3.9313466377719637
4,3.0
5,5.0
5,4.349468975615497
5,4.4
5,4.5
5,3.6214710339991485
4,3.599608937869417
4,3.7623785039813966
5,3.481191675548791
5,4.265693114478286
4,4.277067973535462
4,4.8571427878608295
3,2.732774483921243
5,4.739975941806189
5,5.0
4,4.333333333333333
5,3.6194887076680398
4,3.8743944397192185
1,3.125
4,2.991762321573618
5,3.9741781072828988
3,3.3333333333333335
5,4.849700775427925
4,4.02951950173369
5,3.923076923076923
5,4.282585178366499
4,3.1769538782563878
5,3.35281429237927
4,4.5
3,5.0
3,3.1452093032583144
4,2.5865105394331143
1,2.5714285714285716
5,2.3048345359060542
2,4.5
4,4.25
4,4.583333333333333
4,2.75
1,2.666666676094757
3,5.0
4,4.618410683442953
4,3.6666666666666665
4,2.0
4,2.6774661261764336
4,3.6666666666666665
5,4.111111111111111
5,4.25
4,4.625
1,2.637986628011144
5,3.076923076923077
4,4.5
4,3.5366750531863103
2,4.7
2,3.8502236919529045
4,3.485175544257121
4,4.666666666666667
5,3.412268322439135
4,4.777777739047946
1,3.6666666666666665
5,1.5454546654545382
2,3.2431726591026115
4,4.166666666666667
4,3.3729491366879936
4,2.676933247487373
5,3.75
4,3.71075842224514
4,3.6032527581934652
4,4.777777777777778
3,2.952294726142213
4,2.745086609171899
3,3.1902026977989357
1,2.4144813203642217
3,2.4578684670155635
4,2.5
1,4.76801589242597
1,2.976196125832037
4,2.724117550130362
1,3.4795805112661657
5,2.724009249783029
3,4.428571428571429
2,2.7909700749145383
3,3.0833333333333335
5,3.3234432539896384
5,4.4
2,3.768248959498563
2,3.75
5,3.5741233983642084
3,3.333333344513673
3,2.7584900541689827
5,3.6666666666666665
3,4.5
1,3.5714285714285716
3,3.692554937891207
2,2.42300570546206
3,3.097518052420806
3,2.4400727360899372
5,2.374299179289337
3,0.0
5,4.333333333333333
3,3.6000000299999986
3,2.8864904515675995
1,2.3061351886320685
3,2.6153846153846154
4,3.3054374984640624
3,4.5
1,4.0
1,3.1818181818181817
5,4.916666666666667
2,2.7064153593471145
1,0.0
3,4.25
5,3.069597322401812
2,4.666666666666667
4,4.4783349742755725
3,4.166666666666667
5,4.5
5,4.636363636363637
3,4.461538461538462
5,4.84990722946247
4,3.1675670735924277
3,3.503804518471539
5,3.0833333556940126
3,4.4
2,3.0
3,3.274915506216843
4,5.0
4,4.857142857142857
1,2.500000089442715
2,3.4492169171173868
1,2.9200379547910393
4,4.333333333333333
3,3.0940992571926116
1,2.0088071811386254
1,3.511939339805031
1,3.6666666666666665
2,2.7376815115198876
1,2.6666666666666665
4,3.698601542062594
2,4.75
5,3.3345003904322814
2,4.5
2,2.928735039417262
5,3.028690767519605
2,2.333333422776048
2,4.444444444444445
4,2.8911109664083763
3,3.279390158642463
4,2.558219693396093
2,4.818181770747656
5,4.5
5,4.0
3,5.0
4,3.8795510340735855
4,2.799406245605921
4,4.522943744302238
4,3.5379330454283004
4,3.3226195679029695
5,3.6636872887662646
1,3.2222222222222223
4,3.459048738479047
4,4.133333333333334
3,2.1666666666666665
4,3.3636363636363638
4,4.071428571428571
3,2.857142857142857
4,3.4166666666666665
4,0.0
3,3.230769230769231
4,4.142857142857143
4,3.142857142857143
4,3.857142857142857
5,4.6
4,4.99999990202042
5,4.875
4,2.6153846153846154
2,2.6153846153846154
5,4.833333333333333
5,4.083333333333333
4,4.285714285714286
5,4.6
2,3.3178476928483893
5,4.090909090909091
5,1.0
5,4.666666666666667
5,3.1891981257468576
5,0.0
4,3.0905586564586587
4,3.2423802556435555
2,1.0
5,3.250004996101991
1,3.4689777309772336
1,3.076923076923077
2,3.857142857142857
5,4.153846153846154
2,2.4
2,2.1420494397940377
1,2.901844988260623
1,1.8
3,4.5
1,2.857142857142857
4,5.0
2,3.7999999251668575
4,4.076923069206922
5,4.076923076923077
1,3.348354203319586
5,3.462367839410868
5,4.642856985694831
5,3.526577353291198
4,2.0000002799999606
5,4.091902816511668
3,4.0
3,3.5833333333333335
5,4.799999853030626
4,3.8
5,4.209795639711637
5,3.451036888069512
5,4.210510476094318
4,3.4
1,2.5
4,4.0
5,4.0
5,4.0
5,3.831824942294428
3,3.737376888030519
5,3.7135673642209954
5,3.6044888870743526
4,3.181148106744194
4,4.3
2,3.0390378214793508
4,3.767598268728011
4,4.103453447994268
2,3.2343057985591357
1,1.79485828460962
1,2.502803811673532
5,3.875
4,3.2691546802422686
3,3.6666666666666665
5,4.714285714285714
4,4.5
4,3.561824967963848
3,4.0
5,4.4
4,3.5892858875137144
4,2.7944735372485843
3,3.6363636363636362
3,2.362775678059875
3,3.6884859419329987
4,3.625
4,3.807523575622019
4,3.664950045951776
5,3.913668889168452
3,3.5412933817654397
4,3.939481291757192
4,3.5898907889583045
3,3.300793143801224
2,1.6725318272026992
4,3.802273796102835
5,4.544975880239444
3,4.375
1,2.0422286988901055
5,3.25
3,3.0
4,3.3
3,4.009301844109694
5,4.350021970048104
3,3.928606053196724
4,3.6666666666666665
3,3.933333339618726
4,4.0
4,3.306660466885762
2,1.7142857142857142
5,3.516853064825431
4,4.875
2,3.5384615384615383
5,4.454887312416168
5,4.0
4,4.636363636363637
4,4.0
2,3.612759288157156
4,3.519154679953729
4,4.185750361644577
4,3.8333333333333335
1,2.2857142857142856
5,3.8
3,4.386246942820467
4,3.924832769585211
5,4.5
2,3.3333333333333335
2,2.719232700799651
5,4.857142857142857
4,3.625
4,4.076923076923077
2,3.0
3,4.25
2,3.0572918726842206
3,4.444444444444445
4,3.5
4,3.2222222222222223
4,4.6
3,2.4444444444444446
4,4.555555555555555
4,4.1
3,3.672541508606237
4,2.993992503361933
2,3.4
4,2.8403130773120027
1,1.9012597586161684
4,4.6
4,4.5
4,4.41486402605957
2,3.6454746444723787
5,4.052275177256011
2,3.401766331149472
5,4.039750712744856
5,3.5993048128644163
3,3.8857396567493008
2,2.6043285600500226
4,3.6666666666666665
5,4.265115441009656
4,3.909863290335315
4,3.6981743498420396
3,4.064249637116201
5,4.4
3,4.292893218787434
4,4.210318571514116
5,3.763573097612988
2,3.3783187870938414
4,3.1
2,1.6715634833269344
3,2.931960423151133
3,3.5
5,4.161886913615327
5,3.4285714285714284
4,4.353265221655325
5,4.0
2,3.816297850808073
4,3.2350407971363278
4,4.4
3,2.6923076923076925
2,3.4286291861100096
3,2.480099641575052
4,1.7697702412840666
4,3.4444444444444446
3,3.3
1,1.25
4,4.428571428571429
4,4.111479008561939
2,2.6678740092319737
5,4.056628073296696
5,4.571428571428571
2,4.222222222222222
3,3.2570892415974497
4,3.727272727272727
3,3.313068663924625
1,1.72386519836624
3,4.833333333333333
4,3.9608964260804216
4,4.092187984306653
4,3.6
3,4.166666666666667
5,3.701317770081256
3,2.8783034934574934
5,4.6
3,3.2431044773920954
4,4.666666666666667
4,4.222222222222222
5,3.0109449101579706
2,4.0741644463249465
5,4.2
4,4.055306212568192
4,3.799999999956699
4,3.8322181953950274
2,3.5
5,3.7617013146888594
1,2.1012269234883822
5,4.3440352718671935
5,3.8333333333333335
3,3.888888888888889
4,3.58906670789202
5,4.571428571428571
5,3.836093907954484
4,3.238056538413228
2,3.245459743071924
4,3.6666666666666665
3,4.285714285714286
3,3.7460375318226347
4,4.45727707460591
3,4.0
3,3.247104263772886
4,4.113770930439553
5,3.7196642585412105
4,4.142857142857143
5,4.203265221655324
4,3.4
5,3.9528395056400383
5,4.5
4,2.90933406377966
4,3.9
5,4.4
5,4.5
3,2.9591702841059147
5,4.0
3,4.0
5,2.9869578645434167
5,4.5
4,3.4691546799537294
5,4.160318571514116
4,3.8333333333333335
